ID-model,GO:0003674,GO:0016409,GO:0016747,GO:0016746,GO:0016787,GO:0016740,GO:0036094,GO:0003677,GO:0043168,GO:0003824,GO:0003676,GO:0043565,GO:0000975,GO:0001067,GO:0044212,GO:1901363,GO:0097159,GO:0043167,GO:0008092,GO:0060589,GO:0005488,GO:0005515,GO:0042802,GO:0030234,GO:0019899,GO:0046983
BLAST-S11,NaN,1.00,0.99,0.99,0.90,0.89,0.82,0.81,0.81,0.80,0.79,0.80,0.69,0.69,0.69,0.75,0.75,0.71,0.81,0.63,0.65,0.59,0.51,0.61,0.49,0.47
BLAST-S14,NaN,1.00,0.99,0.99,0.92,0.89,0.84,0.83,0.82,0.81,0.81,0.80,0.79,0.79,0.79,0.79,0.79,0.71,0.70,0.60,0.60,0.58,0.56,0.54,0.49,0.46
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,1.00,1.00,1.00,0.94,0.95,0.72,0.84,0.78,0.86,0.85,0.79,0.50,0.50,0.50,0.78,0.77,0.61,0.67,0.68,0.45,0.45,0.56,0.63,0.48,0.59
101-2,NaN,1.00,1.00,1.00,0.91,0.96,0.72,0.84,0.60,0.86,0.83,0.80,0.50,0.50,0.50,0.80,0.79,0.50,0.50,0.65,0.65,0.57,0.49,0.65,0.49,0.49
101-3,NaN,1.00,0.99,0.99,0.95,0.96,0.76,0.87,0.81,0.85,0.89,0.80,0.50,0.50,0.50,0.85,0.84,0.67,0.67,0.68,0.54,0.62,0.56,0.64,0.48,0.58
102-1,NaN,1.00,1.00,1.00,0.93,0.98,0.84,0.88,0.83,0.84,0.88,0.81,0.70,0.69,0.70,0.85,0.85,0.73,0.85,0.83,0.61,0.69,0.50,0.74,0.51,0.48
102-2,NaN,1.00,1.00,1.00,0.91,0.97,0.83,0.88,0.82,0.86,0.87,0.86,0.72,0.72,0.72,0.85,0.85,0.75,0.87,0.83,0.58,0.66,0.57,0.75,0.53,0.51
102-3,NaN,NaN,1.00,1.00,NaN,1.00,NaN,NaN,NaN,0.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.50,0.50,NaN,NaN,NaN,NaN
