ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.94,0.414,0.69,0.94,0.410,0.089,0.74
BLAST-S14,1.00,0.357,0.71,1.00,0.352,0.067,0.72
Naive-S11,1.00,0.307,0.21,1.00,0.311,0.023,0.23
Naive-S14,1.00,0.301,0.23,1.00,0.308,0.022,0.23
101-1,1.00,0.282,0.40,1.00,0.305,0.056,0.27
101-2,1.00,0.447,0.40,1.00,0.443,0.060,0.41
101-3,1.00,0.455,0.62,1.00,0.451,0.066,0.66
102-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-3,0.31,0.323,0.17,0.31,0.304,0.103,0.17
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,1.00,0.332,0.93,1.00,0.345,0.060,0.94
105-2,1.00,0.347,1.00,1.00,0.355,0.074,0.98
105-3,1.00,0.314,0.99,1.00,0.317,0.060,0.99
106-1,0.31,0.189,0.28,0.31,0.185,0.075,0.53
106-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
106-3,0.19,0.137,0.28,0.19,0.134,0.077,0.46
107-1,1.00,0.329,0.80,1.00,0.328,0.057,0.82
107-2,1.00,0.409,0.04,1.00,0.425,0.103,0.07
107-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,1.00,0.472,0.65,1.00,0.478,0.068,0.68
110-2,1.00,0.426,0.45,1.00,0.430,0.050,0.47
110-3,1.00,0.299,0.22,1.00,0.313,0.045,0.17
111-1,1.00,0.474,0.65,1.00,0.478,0.068,0.67
111-2,1.00,0.291,0.22,1.00,0.301,0.046,0.21
111-3,0.12,0.065,0.43,0.12,0.058,0.038,0.40
112-1,1.00,0.459,0.52,1.00,0.464,0.052,0.48
112-2,1.00,0.463,0.52,1.00,0.468,0.052,0.48
112-3,1.00,0.476,0.52,1.00,0.482,0.053,0.47
113-1,1.00,0.481,0.52,1.00,0.485,0.053,0.47
113-2,0.50,0.195,0.24,0.50,0.196,0.073,0.41
113-3,1.00,0.436,0.65,1.00,0.458,0.069,0.62
114-1,1.00,0.569,0.96,1.00,0.562,0.078,0.96
115-1,1.00,0.493,0.37,1.00,0.495,0.079,0.39
116-1,0.75,0.282,0.97,0.75,0.277,0.092,0.98
116-2,0.38,0.192,1.00,0.38,0.185,0.099,0.96
117-1,1.00,0.504,0.14,1.00,0.522,0.079,0.17
117-2,0.50,0.427,1.00,0.50,0.414,0.073,1.00
119-1,1.00,0.538,0.52,1.00,0.538,0.071,0.57
120-1,1.00,0.559,0.97,1.00,0.553,0.079,0.97
120-2,1.00,0.487,0.50,1.00,0.498,0.059,0.55
120-3,1.00,0.446,0.50,1.00,0.450,0.050,0.52
121-1,0.31,0.322,0.60,0.31,0.305,0.100,0.61
121-2,0.12,0.097,0.85,0.13,0.099,0.057,0.81
121-3,0.31,0.326,0.02,0.31,0.310,0.107,0.11
122-1,0.94,0.614,0.92,0.94,0.607,0.078,0.92
124-1,1.00,0.363,0.36,1.00,0.373,0.082,0.41
124-2,1.00,0.273,0.17,1.00,0.279,0.040,0.19
124-3,1.00,0.360,0.36,1.00,0.370,0.085,0.42
