ID-model,GO:0003674,GO:0016757,GO:0003677,GO:0003676,GO:0016787,GO:0016740,GO:0000975,GO:0001067,GO:0044212,GO:0097159,GO:1901363,GO:0003824,GO:0016772,GO:0043167,GO:0008092,GO:0042802,GO:0005488,GO:0005515,GO:0032403,GO:0019899
BLAST-S11,NaN,0.99,0.95,0.94,0.94,0.92,0.76,0.76,0.76,0.85,0.85,0.86,0.79,0.63,0.74,0.55,0.72,0.72,0.62,0.43
BLAST-S14,NaN,0.99,0.95,0.94,0.93,0.93,0.91,0.91,0.91,0.87,0.87,0.86,0.79,0.71,0.66,0.64,0.63,0.63,0.58,0.42
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,1.00,0.89,0.90,0.90,0.94,0.50,0.50,0.50,0.78,0.79,0.84,0.82,0.60,0.65,0.60,0.44,0.59,0.54,0.51
101-2,NaN,1.00,0.86,0.89,0.89,0.94,0.50,0.50,0.50,0.82,0.82,0.88,0.79,0.54,0.50,0.53,0.79,0.71,0.50,0.52
101-3,NaN,1.00,0.93,0.96,0.95,0.96,0.50,0.50,0.50,0.86,0.86,0.88,0.84,0.69,0.65,0.61,0.62,0.75,0.54,0.51
102-1,NaN,1.00,0.98,0.98,0.94,0.98,0.87,0.87,0.87,0.91,0.91,0.86,0.85,0.72,0.81,0.71,0.71,0.70,0.63,0.41
102-2,NaN,1.00,0.97,0.97,0.94,0.97,0.86,0.86,0.86,0.90,0.90,0.87,0.81,0.72,0.84,0.71,0.71,0.70,0.69,0.43
102-3,NaN,NaN,NaN,NaN,1.00,1.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00,NaN,NaN,NaN,0.00,NaN,NaN
103-1,NaN,NaN,NaN,NaN,NaN,0.75,NaN,NaN,NaN,NaN,NaN,NaN,0.50,0.83,NaN,NaN,1.00,NaN,NaN,NaN
103-2,NaN,NaN,NaN,NaN,NaN,0.75,NaN,NaN,NaN,NaN,NaN,NaN,0.50,0.83,NaN,NaN,1.00,NaN,NaN,NaN
103-3,NaN,1.00,0.95,0.96,0.95,0.98,0.57,0.57,0.57,0.87,0.87,0.94,0.87,0.65,0.64,0.49,0.71,0.64,0.50,0.48
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
