ID-model,GO:0005575,GO:0012505,GO:0043229,GO:0044444,GO:0043226,GO:0043227,GO:0043231,GO:0005737,GO:0005622,GO:0044424,GO:0005623,GO:0044464
BLAST-S11,NaN,0.68,0.66,0.68,0.65,0.63,0.63,0.57,0.54,0.54,0.57,0.57
BLAST-S14,NaN,0.75,0.65,0.65,0.65,0.62,0.62,0.57,0.54,0.54,0.50,0.50
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.83,0.54,0.60,0.54,0.54,0.54,0.57,0.38,0.41,0.41,0.41
101-2,NaN,0.54,0.49,0.45,0.49,0.45,0.45,0.49,0.50,0.50,0.55,0.55
101-3,NaN,0.82,0.72,0.58,0.72,0.67,0.67,0.76,0.81,0.81,0.44,0.44
102-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-3,NaN,0.77,0.61,0.68,0.61,0.52,0.52,0.86,0.77,0.78,0.76,0.76
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,0.84,0.52,0.62,0.52,0.45,0.45,0.67,0.65,0.65,0.56,0.56
105-2,NaN,0.88,0.56,0.61,0.56,0.53,0.53,0.62,0.54,0.55,0.69,0.69
105-3,NaN,0.84,0.50,0.69,0.48,0.47,0.47,0.62,0.55,0.55,0.73,0.73
106-1,NaN,0.67,0.67,0.53,0.67,0.48,0.48,0.86,0.87,0.87,NaN,NaN
106-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106-3,NaN,0.67,0.66,0.48,0.66,0.39,0.39,0.88,0.88,0.88,NaN,NaN
107-1,NaN,0.79,0.45,0.57,0.42,0.44,0.44,0.54,0.44,0.44,0.64,0.64
107-2,NaN,0.85,0.64,0.50,0.64,0.48,0.48,0.59,0.61,0.61,0.89,0.89
107-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
