ID-model,GO:0008150,GO:0044699
BLAST-S11,NaN,0.38
BLAST-S14,NaN,0.42
Naive-S11,NaN,0.50
Naive-S14,NaN,0.50
101-1,NaN,0.42
101-2,NaN,0.45
101-3,NaN,0.41
102-1,NaN,NaN
102-2,NaN,NaN
102-3,NaN,NaN
103-1,NaN,NaN
103-2,NaN,NaN
103-3,NaN,0.61
104-1,NaN,NaN
104-2,NaN,NaN
104-3,NaN,NaN
105-1,NaN,0.55
105-2,NaN,0.58
105-3,NaN,0.51
106-1,NaN,0.82
106-2,NaN,NaN
106-3,NaN,1.00
107-1,NaN,0.58
107-2,NaN,0.43
107-3,NaN,NaN
108-1,NaN,NaN
109-1,NaN,NaN
110-1,NaN,0.57
110-2,NaN,0.77
110-3,NaN,0.53
111-1,NaN,0.57
111-2,NaN,0.56
111-3,NaN,0.50
112-1,NaN,0.67
112-2,NaN,0.67
112-3,NaN,0.64
113-1,NaN,0.58
113-2,NaN,0.44
113-3,NaN,0.56
114-1,NaN,0.67
115-1,NaN,0.38
116-1,NaN,0.44
116-2,NaN,0.62
117-1,NaN,0.97
117-2,NaN,0.86
119-1,NaN,0.59
120-1,NaN,0.65
120-2,NaN,0.68
120-3,NaN,0.75
121-1,NaN,0.29
121-2,NaN,NaN
121-3,NaN,0.60
122-1,NaN,0.66
124-1,NaN,0.64
124-2,NaN,0.45
124-3,NaN,0.64
125-1,NaN,0.67
125-2,NaN,0.43
125-3,NaN,0.73
126-1,NaN,0.66
127-1,NaN,0.49
127-2,NaN,0.47
127-3,NaN,0.00
128-1,NaN,0.43
129-1,NaN,0.58
129-2,NaN,NaN
129-3,NaN,0.58
130-1,NaN,NaN
130-2,NaN,NaN
130-3,NaN,NaN
131-1,NaN,0.38
131-2,NaN,0.43
131-3,NaN,0.80
132-1,NaN,0.75
132-2,NaN,0.66
65-1,NaN,0.05
65-2,NaN,0.05
65-3,NaN,0.03
68-1,NaN,0.38
68-2,NaN,0.57
69-1,NaN,0.49
69-2,NaN,0.60
70-1,NaN,0.41
70-2,NaN,0.39
70-3,NaN,0.16
72-1,NaN,0.79
72-2,NaN,0.65
73-1,NaN,0.52
73-2,NaN,0.52
73-3,NaN,0.50
74-1,NaN,0.67
74-2,NaN,0.58
75-1,NaN,0.49
75-2,NaN,0.60
79-1,NaN,0.60
79-2,NaN,0.54
79-3,NaN,0.78
80-1,NaN,0.64
80-2,NaN,0.51
81-1,NaN,0.64
81-2,NaN,0.64
82-1,NaN,0.45
83-1,NaN,0.52
83-2,NaN,0.61
84-1,NaN,0.54
85-1,NaN,0.67
85-2,NaN,0.67
86-1,NaN,0.65
86-2,NaN,0.65
86-3,NaN,0.68
87-1,NaN,NaN
87-2,NaN,NaN
87-3,NaN,0.77
88-1,NaN,NaN
89-1,NaN,NaN
89-2,NaN,NaN
89-3,NaN,NaN
91-1,NaN,NaN
91-2,NaN,NaN
91-3,NaN,NaN
93-1,NaN,NaN
93-2,NaN,NaN
94-1,NaN,0.77
95-1,NaN,0.49
95-2,NaN,0.59
96-1,NaN,NaN
96-2,NaN,NaN
96-3,NaN,NaN
97-1,NaN,NaN
97-2,NaN,NaN
97-3,NaN,NaN
98-1,NaN,0.71
99-1,NaN,0.53
