ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.95,11.388,0.55,0.95,11.343,0.911,0.56
BLAST-S14,0.97,11.401,0.62,0.97,11.284,0.902,0.57
Naive-S11,1.00,11.114,0.31,1.00,11.109,0.864,0.31
Naive-S14,1.00,11.114,0.33,1.00,11.109,0.864,0.33
101-1,0.82,11.160,0.44,0.82,11.137,0.906,0.44
101-2,0.81,10.074,0.45,0.81,10.031,0.904,0.50
101-3,0.82,12.306,1.00,0.82,12.374,1.278,1.00
102-1,0.00,11.983,1.00,0.00,11.976,0.903,1.00
102-2,0.00,11.983,1.00,0.00,11.976,0.903,1.00
102-3,0.00,11.983,1.00,0.00,11.976,0.903,1.00
103-1,0.67,9.993,0.22,0.67,9.977,0.885,0.25
103-2,0.81,9.683,0.34,0.81,9.637,0.921,0.44
103-3,0.75,9.679,0.17,0.75,9.681,0.889,0.18
104-1,0.00,11.983,1.00,0.00,11.976,0.903,1.00
104-2,0.00,11.983,1.00,0.00,11.976,0.903,1.00
104-3,0.00,11.983,1.00,0.00,11.976,0.903,1.00
105-1,1.00,10.525,0.98,1.00,10.543,0.873,0.98
105-2,0.89,14.429,1.00,0.89,14.470,1.305,1.00
105-3,0.93,17.490,1.00,0.93,17.510,1.810,1.00
106-1,0.62,9.474,0.07,0.62,9.464,0.902,0.14
106-2,0.00,11.983,1.00,0.00,11.976,0.903,1.00
106-3,0.40,10.166,0.07,0.40,10.170,0.893,0.11
107-1,0.99,20.788,1.00,0.99,20.848,3.537,1.00
107-2,0.99,10.458,0.14,0.99,10.387,0.891,0.16
107-3,0.97,10.663,0.11,0.97,10.565,0.882,0.12
108-1,0.00,11.983,1.00,0.00,11.976,0.903,1.00
109-1,0.00,11.983,1.00,0.00,11.976,0.903,1.00
110-1,0.95,11.810,1.00,0.95,11.859,1.033,1.00
110-2,0.95,10.884,0.90,0.95,10.855,0.909,0.89
110-3,1.00,16.229,1.00,1.00,16.240,0.724,0.99
111-1,0.95,11.810,1.00,0.95,11.859,1.033,1.00
111-2,1.00,16.229,1.00,1.00,16.240,0.724,0.99
111-3,0.00,11.983,1.00,0.00,11.976,0.903,1.00
112-1,1.00,11.048,0.90,1.00,11.005,0.897,0.84
112-2,1.00,11.053,0.90,1.00,11.003,0.898,0.84
112-3,1.00,11.029,0.73,1.00,10.981,0.882,0.74
