ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.88,11.464,0.57,0.87,11.428,1.450,0.57
BLAST-S14,0.88,9.017,0.52,0.87,9.016,1.765,0.52
Naive-S11,1.00,14.685,0.31,1.00,14.714,2.718,0.31
Naive-S14,1.00,14.685,0.33,1.00,14.713,2.715,0.33
101-1,1.00,13.056,0.38,1.00,12.914,2.913,0.39
101-2,1.00,11.052,0.44,1.00,10.828,2.546,0.41
101-3,1.00,43.488,0.89,1.00,43.522,7.039,0.91
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.69,9.352,0.26,0.69,9.356,1.444,0.28
103-2,1.00,8.784,0.15,1.00,8.681,2.547,0.17
103-3,0.62,7.295,0.17,0.62,7.496,1.937,0.18
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,7.876,0.95,1.00,7.709,2.459,0.96
105-2,1.00,10.708,0.99,1.00,10.851,3.203,0.99
105-3,1.00,10.952,1.00,1.00,11.423,3.585,1.00
106-1,0.44,7.103,0.10,0.44,7.186,2.328,0.17
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.44,7.103,0.10,0.44,7.186,2.328,0.17
107-1,1.00,15.926,1.00,1.00,16.638,8.658,1.00
107-2,1.00,9.245,0.10,1.00,9.020,2.903,0.08
107-3,1.00,11.378,0.08,1.00,11.388,2.517,0.08
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.94,20.519,1.00,0.94,21.165,7.551,0.99
110-2,1.00,11.630,0.81,1.00,11.584,3.077,0.83
110-3,1.00,10.589,1.00,1.00,10.945,2.946,0.99
111-1,0.94,20.519,1.00,0.94,21.165,7.551,0.99
111-2,1.00,10.589,1.00,1.00,10.945,2.946,0.99
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,10.619,0.72,1.00,10.533,2.996,0.66
112-2,1.00,10.636,0.71,1.00,10.623,3.013,0.67
112-3,1.00,11.291,0.49,1.00,11.233,2.844,0.51
113-1,1.00,11.520,0.46,1.00,11.385,2.825,0.51
