ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.98,0.641,0.42,0.98,0.640,0.004,0.42
BLAST-S14,0.99,0.633,0.45,0.99,0.632,0.004,0.46
Naive-S11,1.00,0.589,0.28,1.00,0.589,0.003,0.28
Naive-S14,1.00,0.589,0.29,1.00,0.589,0.003,0.29
101-1,0.90,0.631,0.36,0.90,0.631,0.006,0.36
101-2,0.21,0.584,0.19,0.21,0.584,0.010,0.16
101-3,0.90,0.567,0.27,0.90,0.567,0.005,0.28
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.52,0.539,0.17,0.52,0.539,0.008,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.99,0.618,0.92,0.99,0.618,0.004,0.92
105-2,0.98,0.591,1.00,0.98,0.591,0.005,1.00
105-3,0.98,0.618,1.00,0.98,0.618,0.006,1.00
106-1,0.35,0.580,0.03,0.35,0.580,0.008,0.05
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.23,0.575,0.07,0.23,0.575,0.010,0.07
107-1,1.00,0.630,0.78,1.00,0.629,0.004,0.81
107-2,1.00,0.581,0.03,1.00,0.581,0.005,0.03
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.99,0.631,0.22,0.99,0.631,0.004,0.15
110-2,0.94,0.618,0.56,0.94,0.618,0.004,0.57
110-3,1.00,0.670,1.00,1.00,0.670,0.003,0.99
111-1,0.95,0.620,0.22,0.95,0.620,0.004,0.16
111-2,0.99,0.661,0.98,0.99,0.661,0.003,0.92
111-3,0.12,0.608,0.36,0.12,0.609,0.012,0.38
112-1,0.99,0.610,0.56,0.99,0.610,0.004,0.57
112-2,0.99,0.611,0.56,0.99,0.611,0.004,0.56
112-3,0.96,0.612,0.56,0.96,0.611,0.004,0.56
113-1,0.96,0.612,0.56,0.96,0.612,0.004,0.56
113-2,0.78,0.722,1.00,0.78,0.722,0.005,1.00
113-3,0.32,0.613,0.56,0.32,0.611,0.008,0.59
114-1,1.00,0.564,0.95,1.00,0.563,0.005,0.95
115-1,1.00,0.563,0.30,1.00,0.562,0.005,0.32
116-1,0.69,0.569,0.09,0.69,0.569,0.006,0.11
116-2,0.50,0.581,0.09,0.50,0.581,0.009,0.08
117-1,1.00,0.603,0.12,1.00,0.603,0.005,0.12
117-2,0.13,0.648,1.00,0.13,0.649,0.016,1.00
119-1,0.94,0.586,0.75,0.94,0.586,0.005,0.75
120-1,1.00,0.563,0.97,1.00,0.562,0.005,0.97
120-2,1.00,0.564,0.73,1.00,0.564,0.005,0.73
120-3,1.00,0.575,0.60,1.00,0.574,0.005,0.59
121-1,0.65,0.542,0.43,0.65,0.542,0.007,0.48
121-2,0.04,0.576,0.32,0.04,0.578,0.041,0.39
121-3,0.68,0.548,0.02,0.68,0.548,0.007,0.02
122-1,0.59,0.563,0.69,0.59,0.563,0.007,0.69
124-1,1.00,0.618,0.34,1.00,0.618,0.003,0.34
124-2,1.00,0.619,0.32,1.00,0.619,0.003,0.32
124-3,1.00,0.617,0.33,1.00,0.617,0.003,0.33
125-1,1.00,0.565,0.94,1.00,0.564,0.005,0.95
125-2,0.94,0.595,0.34,0.94,0.595,0.005,0.34
125-3,1.00,0.630,0.38,1.00,0.630,0.004,0.39
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,0.91,0.573,0.57,0.91,0.573,0.005,0.59
127-2,0.90,0.571,0.71,0.90,0.571,0.005,0.71
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.47,0.676,0.17,0.47,0.676,0.002,0.17
129-1,0.98,0.566,0.59,0.98,0.566,0.005,0.58
129-2,0.38,0.570,0.60,0.38,0.570,0.007,0.60
129-3,0.98,0.566,0.57,0.98,0.565,0.005,0.58
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.81,0.559,0.08,0.81,0.558,0.006,0.08
131-2,0.84,0.552,0.04,0.84,0.552,0.006,0.04
131-3,0.98,0.595,0.09,0.98,0.595,0.005,0.09
132-1,0.99,0.610,0.60,0.99,0.610,0.004,0.60
132-2,0.96,0.611,0.60,0.96,0.611,0.004,0.60
65-1,0.82,0.642,0.17,0.82,0.642,0.003,0.16
65-2,0.79,0.649,0.10,0.79,0.648,0.003,0.10
65-3,0.82,0.648,0.11,0.82,0.647,0.003,0.11
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,0.10,0.507,0.39,0.10,0.508,0.020,0.38
69-2,1.00,0.583,0.36,1.00,0.583,0.005,0.35
70-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
70-2,0.99,0.567,0.27,0.99,0.567,0.004,0.27
70-3,0.99,0.574,0.25,0.99,0.574,0.004,0.24
72-1,0.98,0.570,0.01,0.98,0.570,0.005,0.01
72-2,0.98,0.560,0.01,0.98,0.560,0.005,0.01
73-1,1.00,0.629,0.96,1.00,0.628,0.004,0.94
73-2,1.00,0.628,0.96,1.00,0.628,0.004,0.94
73-3,0.99,0.756,1.00,0.99,0.756,0.007,1.00
74-1,0.54,0.570,0.13,0.54,0.570,0.007,0.13
74-2,0.99,0.584,0.23,0.99,0.583,0.005,0.22
75-1,0.10,0.515,0.62,0.10,0.515,0.019,0.60
75-2,1.00,0.565,0.70,1.00,0.565,0.005,0.69
79-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
79-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
79-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
80-1,0.57,0.560,0.24,0.57,0.560,0.007,0.24
80-2,0.99,0.567,0.42,0.99,0.567,0.005,0.41
81-1,0.98,0.570,0.50,0.98,0.570,0.006,0.50
81-2,0.98,0.570,0.37,0.98,0.570,0.006,0.40
82-1,0.87,0.586,0.50,0.87,0.586,0.004,0.50
83-1,0.94,0.570,0.34,0.94,0.569,0.005,0.31
83-2,0.94,0.568,0.28,0.94,0.567,0.005,0.29
84-1,0.80,0.656,0.03,0.80,0.656,0.002,0.03
85-1,0.95,0.570,0.51,0.95,0.569,0.005,0.49
85-2,0.99,0.572,0.65,0.99,0.571,0.005,0.64
86-1,0.96,0.578,0.55,0.96,0.577,0.005,0.53
86-2,0.96,0.578,0.55,0.96,0.577,0.005,0.53
86-3,0.88,0.574,0.39,0.88,0.573,0.006,0.38
87-1,0.87,0.606,0.38,0.87,0.605,0.005,0.36
87-2,0.87,0.603,0.18,0.87,0.603,0.005,0.18
87-3,0.72,0.586,0.30,0.72,0.585,0.006,0.29
88-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-1,0.21,0.664,0.04,0.21,0.664,0.006,0.04
91-2,0.21,0.692,1.00,0.21,0.692,0.010,1.00
91-3,0.21,0.705,0.53,0.21,0.706,0.002,0.53
93-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
94-1,0.98,0.569,1.00,0.98,0.569,0.005,0.96
95-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
95-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-1,0.74,0.895,1.00,0.74,0.895,0.003,1.00
96-2,0.75,0.903,1.00,0.75,0.903,0.003,1.00
96-3,0.75,0.912,1.00,0.75,0.912,0.002,1.00
97-1,1.00,0.572,0.01,1.00,0.572,0.005,0.03
97-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
98-1,0.99,0.619,0.50,0.99,0.619,0.003,0.50
99-1,0.97,0.573,0.26,0.97,0.572,0.005,0.25
