ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.557,0.53,1.00,0.558,0.064,0.53
BLAST-S14,1.00,0.566,0.54,1.00,0.570,0.065,0.56
Naive-S11,1.00,0.681,0.09,1.00,0.681,0.005,0.09
Naive-S14,1.00,0.681,0.16,1.00,0.681,0.005,0.15
101-1,1.00,0.652,0.38,1.00,0.639,0.032,0.40
101-2,1.00,0.611,0.01,1.00,0.610,0.037,0.10
101-3,1.00,0.587,0.30,1.00,0.581,0.056,0.48
102-1,1.00,0.588,0.69,1.00,0.589,0.060,0.67
102-2,1.00,0.591,0.73,1.00,0.593,0.060,0.71
102-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-3,0.40,0.729,0.17,0.40,0.734,0.082,0.17
104-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
105-1,1.00,0.705,0.92,1.00,0.701,0.033,0.90
105-2,1.00,0.673,0.96,1.00,0.672,0.050,0.98
105-3,1.00,0.708,1.00,1.00,0.702,0.051,0.99
106-1,0.67,0.596,0.32,0.67,0.603,0.088,0.40
106-2,0.27,0.859,0.64,0.27,0.862,0.060,0.66
106-3,0.20,0.842,0.32,0.20,0.842,0.089,0.51
107-1,1.00,0.693,1.00,1.00,0.696,0.041,0.92
107-2,1.00,0.572,0.04,1.00,0.573,0.072,0.04
107-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
108-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
109-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
110-1,1.00,0.681,0.56,1.00,0.667,0.031,0.70
110-2,1.00,0.615,0.53,1.00,0.612,0.046,0.56
110-3,1.00,0.658,0.04,1.00,0.660,0.030,0.27
111-1,1.00,0.681,0.56,1.00,0.668,0.031,0.67
111-2,0.93,0.662,0.04,0.93,0.663,0.032,0.28
111-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
112-1,1.00,0.593,0.52,1.00,0.595,0.043,0.52
112-2,1.00,0.594,0.51,1.00,0.596,0.043,0.50
112-3,1.00,0.599,0.52,1.00,0.600,0.043,0.49
113-1,1.00,0.600,0.51,1.00,0.601,0.043,0.48
113-2,0.53,0.687,0.04,0.53,0.686,0.045,0.42
113-3,1.00,0.687,0.56,1.00,0.675,0.029,0.64
114-1,1.00,0.599,0.98,1.00,0.597,0.051,0.99
115-1,1.00,0.573,0.48,1.00,0.569,0.059,0.46
116-1,0.80,0.621,0.48,0.80,0.620,0.068,0.61
116-2,0.73,0.645,0.64,0.73,0.648,0.084,0.70
117-1,1.00,0.590,0.17,1.00,0.576,0.067,0.18
117-2,0.73,0.625,1.00,0.73,0.636,0.049,1.00
119-1,1.00,0.551,0.86,1.00,0.555,0.072,0.88
120-1,1.00,0.624,0.98,1.00,0.620,0.052,0.99
120-2,1.00,0.604,0.55,1.00,0.595,0.046,0.59
120-3,0.67,0.724,0.46,0.67,0.728,0.061,0.53
121-1,0.40,0.755,0.60,0.40,0.758,0.082,0.60
121-2,0.13,0.903,0.85,0.13,0.903,0.069,0.75
121-3,0.40,0.712,0.01,0.40,0.719,0.082,0.02
