ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.657,0.41,0.99,0.657,0.005,0.42
BLAST-S14,0.99,0.650,0.47,0.99,0.649,0.006,0.46
Naive-S11,1.00,0.634,0.14,1.00,0.634,0.002,0.14
Naive-S14,1.00,0.632,0.17,1.00,0.632,0.002,0.17
101-1,0.89,0.657,0.36,0.89,0.658,0.005,0.36
101-2,0.87,0.637,0.15,0.87,0.637,0.006,0.15
101-3,0.89,0.644,0.34,0.89,0.644,0.005,0.34
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.42,0.613,0.17,0.42,0.614,0.017,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.632,0.94,1.00,0.632,0.006,0.94
105-2,0.98,0.633,0.97,0.98,0.632,0.006,0.97
105-3,0.98,0.639,1.00,0.98,0.638,0.006,1.00
106-1,0.38,0.640,0.07,0.38,0.641,0.017,0.07
106-2,0.00,0.650,1.00,0.00,0.650,0.000,1.00
106-3,0.23,0.601,0.07,0.23,0.603,0.020,0.08
107-1,1.00,0.649,0.78,1.00,0.648,0.005,0.80
107-2,1.00,0.645,0.02,1.00,0.646,0.006,0.02
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.98,0.637,0.78,0.98,0.636,0.006,0.81
110-2,0.96,0.633,0.49,0.96,0.633,0.006,0.49
110-3,0.99,0.664,0.38,0.99,0.664,0.003,0.33
111-1,0.97,0.639,0.78,0.97,0.639,0.006,0.78
111-2,0.98,0.662,0.40,0.98,0.662,0.004,0.38
111-3,0.06,0.625,0.36,0.06,0.622,0.024,0.41
112-1,0.99,0.612,0.46,0.99,0.611,0.007,0.47
112-2,0.99,0.611,0.46,0.99,0.611,0.007,0.47
112-3,0.99,0.610,0.46,0.99,0.610,0.007,0.47
113-1,0.99,0.610,0.46,0.99,0.610,0.007,0.46
113-2,0.74,0.664,0.84,0.74,0.664,0.005,0.87
113-3,0.95,0.642,0.78,0.95,0.642,0.006,0.76
114-1,1.00,0.615,0.75,1.00,0.615,0.006,0.77
115-1,1.00,0.603,0.28,1.00,0.603,0.008,0.27
116-1,0.76,0.665,0.01,0.76,0.665,0.011,0.01
116-2,0.42,0.697,0.01,0.42,0.698,0.014,0.01
117-1,1.00,0.618,0.12,1.00,0.616,0.006,0.12
117-2,0.29,0.608,1.00,0.29,0.609,0.017,1.00
