ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.659,0.49,0.99,0.658,0.009,0.50
BLAST-S14,0.99,0.650,0.57,0.99,0.649,0.009,0.56
Naive-S11,1.00,0.630,0.15,1.00,0.630,0.003,0.15
Naive-S14,1.00,0.630,0.17,1.00,0.629,0.003,0.18
101-1,0.90,0.669,0.36,0.90,0.667,0.009,0.36
101-2,0.88,0.624,0.27,0.88,0.624,0.011,0.26
101-3,0.90,0.648,0.51,0.90,0.648,0.010,0.53
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.44,0.584,0.17,0.44,0.585,0.023,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.622,0.95,1.00,0.619,0.012,0.96
105-2,0.97,0.615,0.99,0.97,0.612,0.013,0.98
105-3,0.96,0.624,1.00,0.96,0.625,0.014,1.00
106-1,0.41,0.544,0.13,0.41,0.543,0.035,0.14
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.29,0.500,0.17,0.29,0.503,0.043,0.17
107-1,1.00,0.644,0.78,1.00,0.643,0.013,0.84
107-2,1.00,0.613,0.03,1.00,0.609,0.018,0.03
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.95,0.654,0.74,0.95,0.651,0.009,0.82
110-2,0.91,0.619,0.54,0.91,0.619,0.012,0.53
110-3,1.00,0.673,0.79,1.00,0.673,0.004,0.72
111-1,0.95,0.652,0.74,0.95,0.652,0.009,0.71
111-2,0.96,0.675,0.55,0.96,0.674,0.003,0.58
111-3,0.08,0.629,0.24,0.08,0.629,0.024,0.32
112-1,0.98,0.620,0.49,0.99,0.619,0.009,0.49
112-2,0.98,0.622,0.52,0.99,0.620,0.009,0.49
112-3,0.98,0.621,0.49,0.99,0.620,0.009,0.48
113-1,0.98,0.622,0.48,0.99,0.621,0.009,0.48
